Test: frags,Reps:,300,Numbers correspond to the number of times that algorithm was able to correctly classify that specimen
Specimen,Appearences,Random Forest (no bootstrap),Random Forest,Extra Trees,SVM - linear,SVM - RBF,Neural Network,LDA,Naive Bayes,KNN
MN19080803,70,69,69,67,69,70,70,59,70,70
MN19080804,82,82,81,80,49,82,82,72,78,76
MN19080805,79,79,79,79,79,79,79,79,79,77
MN19080806,81,4,7,11,6,44,25,8,73,60
MN19080807,74,74,74,74,74,74,74,71,74,73
MN19080808,88,88,88,88,88,88,88,88,88,88
MN19080813,82,82,82,79,78,82,82,73,82,82
MN19080814,81,81,81,81,81,81,81,78,81,80
MN19080817,77,77,77,77,77,76,77,77,77,61
MN19081015,73,56,54,42,73,73,73,73,73,25
MN19081016,74,69,72,74,74,74,74,74,74,74
MN19081018,90,46,63,66,90,83,90,89,90,80
MN19081020,67,22,37,28,63,58,64,67,67,22
MN19081022,84,0,0,0,3,0,0,7,0,0
MN19081023,68,68,68,68,67,68,68,50,68,68
MN19081024,58,58,58,58,48,56,58,11,46,22
MN19081201,85,79,84,84,85,85,85,85,85,79
MN19081202,75,72,73,75,75,75,75,75,75,75
MN19081301,71,71,70,69,70,71,71,60,71,69
MN19081302,77,77,77,77,77,77,77,77,77,76
MN19081303,76,76,76,76,76,76,76,76,76,76
MN19081304,79,79,79,79,78,79,79,78,79,79
MN19081305,92,92,92,92,92,92,92,92,92,92
MN19081640,71,71,71,70,70,70,71,70,71,67
